ene,k
77.4839,2132210.
77.5125,2151985.
77.5411,2168728.
77.5697,2189136.
77.5983,2209995.
77.6269,2235025.
77.6555,2271165.
77.6841,2302771.
77.7127,2319565.
77.7412,2338789.
77.7698,2359960.
77.7984,2385303.
77.827,2418922.
77.8556,2449481.
77.8842,2474177.
77.9128,2493811.
77.9414,2520605.
77.97,2547070.
77.9986,2574064.
78.0272,2606288.
78.0558,2636261.
78.0843,2658817.
78.1129,2682178.
78.1415,2705218.
78.1701,2731197.
78.1987,2764637.
78.2273,2809756.
78.2559,2839440.
78.2845,2857416.
78.3131,2883632.
78.3417,2909082.
78.3703,2943828.
78.3989,2983199.
78.4274,3017222.
78.456,3040676.
78.4846,3068951.
78.5132,3100646.
78.5418,3130237.
78.5704,3162434.
78.599,3200240.
78.6276,3237008.
78.6562,3263174.
78.6848,3291879.
78.7134,3322182.
78.742,3351736.
78.7706,3396166.
78.7991,3443008.
78.8277,3472553.
78.8563,3495943.
78.8849,3527856.
78.9135,3561732.
78.9421,3602660.
78.9707,3647506.
78.9993,3683623.
79.0279,3711707.
79.0565,3746834.
79.0851,3783049.
79.1137,3819660.
79.1422,3858803.
79.1708,3905137.
79.1994,3943553.
79.228,3971278.
79.2566,4007850.
79.2852,4043024.
79.3138,4083585.
79.3424,4138249.
79.371,4187291.
79.3996,4217617.
79.4282,4250639.
79.4568,4287021.
79.4853,4326718.
79.5139,4375513.
79.5425,4423946.
79.5711,4465691.
79.5997,4501774.
79.6283,4543546.
79.6569,4587935.
79.6855,4630598.
79.7141,4679071.
79.7427,4729054.
79.7713,4770549.
79.7999,4804248.
79.8284,4845412.
79.857,4888472.
79.8856,4940198.
79.9142,5005456.
79.9428,5053683.
79.9714,5089245.
80,5130063.
80.0286,5171441.
80.0572,5224870.
80.0858,5281478.
80.1144,5336321.
80.143,5382336.
80.1716,5424390.
80.2001,5476126.
80.2287,5524203.
80.2573,5576689.
80.2859,5634446.
80.3145,5689525.
80.3431,5734993.
80.3717,5779420.
80.4003,5827097.
80.4289,5875878.
80.4575,5941149.
80.4861,6010607.
80.5147,6060668.
80.5432,6104898.
80.5718,6153840.
80.6004,6206562.
80.629,6269877.
80.6576,6336331.
80.6862,6396580.
80.7148,6447166.
80.7434,6497987.
80.772,6554671.
80.8006,6611914.
80.8292,6673514.
80.8578,6743305.
80.8863,6802285.
80.9149,6852937.
80.9435,6907993.
80.9721,6962483.
81.0007,7024114.
81.0293,7102665.
81.0579,7177387.
81.0865,7232638.
81.1151,7284412.
